YEAR,MONTH,DATE,FISHING_SEASON,SITE,SEGMENT_START,SEGMENT_END,TRAPS,OBSERVER,NOTES
2012,11,11/2/12,2012-2013,ABUR,119 44.550,119 44.500,6,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,ABUR,119 44.500,119 44.450,8,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,ABUR,119 44.450,119 44.400,10,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,ABUR,119 44.400,119 44.350,14,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,ABUR,119 44.350,119 44.300,9,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,ABUR,119 44.300,119 44.250,16,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.950,119 44.900,8,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.900,119 44.850,6,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.850,119 44.800,9,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.800,119 44.750,9,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.750,119 44.700,9,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.700,119 44.650,5,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.650,119 44.600,1,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.600,119 44.550,0,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.550,119 44.500,5,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.500,119 44.450,5,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.450,119 44.400,5,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.400,119 44.350,6,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.350,119 44.300,7,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,ABUR,119 44.300,119 44.250,9,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.950,119 44.900,2,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.900,119 44.850,4,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.850,119 44.800,3,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.800,119 44.750,5,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.750,119 44.700,4,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.700,119 44.650,4,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.650,119 44.600,1,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.600,119 44.550,1,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.550,119 44.500,5,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.500,119 44.450,2,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.450,119 44.400,5,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.400,119 44.350,2,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.350,119 44.300,3,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,ABUR,119 44.300,119 44.250,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.950,119 44.900,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.900,119 44.850,1,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.850,119 44.800,2,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.800,119 44.750,1,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.750,119 44.700,2,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.700,119 44.650,2,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.650,119 44.600,3,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.600,119 44.550,2,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.550,119 44.500,3,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.500,119 44.450,2,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.450,119 44.400,1,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.400,119 44.350,2,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.350,119 44.300,3,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,ABUR,119 44.300,119 44.250,2,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.950,119 44.900,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.900,119 44.850,2,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.850,119 44.800,1,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.800,119 44.750,3,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.750,119 44.700,2,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.700,119 44.650,2,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.650,119 44.600,1,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.600,119 44.550,1,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.550,119 44.500,1,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.500,119 44.450,3,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.450,119 44.400,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.400,119 44.350,2,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.350,119 44.300,3,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,ABUR,119 44.300,119 44.250,1,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.950,119 44.900,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.900,119 44.850,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.850,119 44.800,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.800,119 44.750,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.750,119 44.700,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.700,119 44.650,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.650,119 44.600,1,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.600,119 44.550,1,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.550,119 44.500,1,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.500,119 44.450,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.450,119 44.400,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.400,119 44.350,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.350,119 44.300,1,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,ABUR,119 44.300,119 44.250,0,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.950,120 08.900,0,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.900,120 08.850,5,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.850,120 08.800,1,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.800,120 08.750,1,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.750,120 08.700,0,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.700,120 08.650,0,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.650,120 08.600,0,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.600,120 08.550,0,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.550,120 08.500,0,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.500,120 08.450,4,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.450,120 08.400,4,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.400,120 08.350,0,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.350,120 08.300,0,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.300,120 08.250,1,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AHND,120 08.250,120 08.200,2,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.950,120 08.900,1,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.900,120 08.850,3,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.850,120 08.800,2,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.800,120 08.750,3,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.750,120 08.700,0,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.700,120 08.650,0,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.650,120 08.600,0,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.600,120 08.550,0,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.550,120 08.500,0,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.500,120 08.450,3,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.450,120 08.400,2,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.400,120 08.350,0,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.350,120 08.300,0,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.300,120 08.250,1,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AHND,120 08.250,120 08.200,1,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.950,120 08.900,0,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.900,120 08.850,4,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.850,120 08.800,2,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.800,120 08.750,1,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.750,120 08.700,0,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.700,120 08.650,0,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.650,120 08.600,0,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.600,120 08.550,0,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.550,120 08.500,0,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.500,120 08.450,2,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.450,120 08.400,3,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.400,120 08.350,0,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.350,120 08.300,0,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.300,120 08.250,1,Matt Kay,FIXED Start/Stop
2012,11,11/2/12,2012-2013,AHND,120 08.250,120 08.200,1,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.950,120 08.900,0,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.900,120 08.850,1,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.850,120 08.800,1,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.800,120 08.750,1,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.750,120 08.700,0,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.700,120 08.650,0,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.650,120 08.600,0,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.600,120 08.550,0,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.550,120 08.500,0,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.500,120 08.450,2,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.450,120 08.400,2,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.400,120 08.350,0,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.350,120 08.300,0,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.300,120 08.250,0,Matt Kay,FIXED Start/Stop
2012,11,11/19/12,2012-2013,AHND,120 08.250,120 08.200,1,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.950,120 08.900,0,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.900,120 08.850,1,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.850,120 08.800,0,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.800,120 08.750,0,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.750,120 08.700,0,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.700,120 08.650,0,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.650,120 08.600,0,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.600,120 08.550,0,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.550,120 08.500,0,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.500,120 08.450,2,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.450,120 08.400,2,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.400,120 08.350,0,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.350,120 08.300,0,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.300,120 08.250,1,Matt Kay,FIXED Start/Stop
2012,12,12/12/12,2012-2013,AHND,120 08.250,120 08.200,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.950,120 08.900,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.900,120 08.850,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.850,120 08.800,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.800,120 08.750,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.750,120 08.700,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.700,120 08.650,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.650,120 08.600,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.600,120 08.550,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.550,120 08.500,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.500,120 08.450,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.450,120 08.400,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.400,120 08.350,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.350,120 08.300,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.300,120 08.250,0,Matt Kay,FIXED Start/Stop
2013,1,1/8/13,2012-2013,AHND,120 08.250,120 08.200,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.950,120 08.900,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.900,120 08.850,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.850,120 08.800,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.800,120 08.750,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.750,120 08.700,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.700,120 08.650,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.650,120 08.600,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.600,120 08.550,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.550,120 08.500,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.500,120 08.450,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.450,120 08.400,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.400,120 08.350,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.350,120 08.300,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.300,120 08.250,0,Matt Kay,FIXED Start/Stop
2013,2,2/6/13,2012-2013,AHND,120 08.250,120 08.200,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.950,120 08.900,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.900,120 08.850,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.850,120 08.800,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.800,120 08.750,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.750,120 08.700,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.700,120 08.650,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.650,120 08.600,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.600,120 08.550,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.550,120 08.500,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.500,120 08.450,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.450,120 08.400,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.400,120 08.350,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.350,120 08.300,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.300,120 08.250,0,Matt Kay,FIXED Start/Stop
2013,3,3/18/13,2012-2013,AHND,120 08.250,120 08.200,0,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 07.950,120 07.900,2,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 07.900,120 07.850,4,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 07.850,120 07.800,6,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 07.800,120 07.750,1,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 07.750,120 07.700,3,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 07.700,120 07.650,4,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 07.650,120 07.600,2,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 07.600,120 07.550,3,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 07.550,120 07.500,4,Matt Kay,1 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.500,120 07.450,3,Matt Kay,1 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.450,120 07.400,4,Matt Kay,4 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.400,120 07.350,4,Matt Kay,1 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.350,120 07.300,4,Matt Kay,3 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.300,120 07.250,4,Matt Kay,2 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.250,120 07.200,2,Matt Kay,4 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.200,120 07.150,3,Matt Kay,2 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.150,120 07.100,7,Matt Kay,1 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.100,120 07.050,5,Matt Kay,1 additional trap outside 15m contour
2012,10,10/5/12,2012-2013,AQUE,120 07.050,120 07.000,5,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 07.000,120 06.950,2,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 06.950,120 06.900,3,Matt Kay,FIXED Start/Stop
2012,10,10/5/12,2012-2013,AQUE,120 06.900,120 06.850,1,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AQUE,120 07.950,120 07.900,0,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AQUE,120 07.900,120 07.850,1,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AQUE,120 07.850,120 07.800,6,Matt Kay,FIXED Start/Stop
2012,10,10/20/12,2012-2013,AQUE,120 07.800,120 07.750,7,Matt Kay,FIXED Start/Stop
