RECORDID,DAM_NAME,OTHER_DAM_NAME,DAM_FORMER_NAME,STATEID,NIDID,LONGITUDE,LATITUDE,SECTION,COUNTY,RIVER,CITY,DISTANCE,OWNER_NAME,OWNER_TYPE,DAM_DESIGNER,PRIVATE_DAM,DAM_TYPE,CORE,FOUNDATION,PURPOSES,YEAR_COMPLETED,YEAR_MODIFIED,DAM_LENGTH,DAM_HEIGHT,STRUCTURAL_HEIGHT,HYDRAULIC_HEIGHT,NID_HEIGHT,MAX_DISCHARGE,MAX_STORAGE,NORMAL_STORAGE,NID_STORAGE,SURFACE_AREA,DRAINAGE_AREA,HAZARD,EAP,INSPECTION_DATE,INSPECTION_FREQUENCY,STATE_REG_DAM,STATE_REG_AGENCY,SPILLWAY_TYPE,SPILLWAY_WIDTH,OUTLET_GATES,VOLUME,NUMBER_OF_LOCKS,LENGTH_OF_LOCKS,WIDTH_OF_LOCKS,FED_FUNDING,FED_DESIGN,FED_CONSTRUCTION,FED_REGULATORY,FED_INSPECTION,FED_OPERATION,FED_OWNER,FED_OTHER,SOURCE_AGENCY,STATE,SUBMIT_DATE,URL_ADDRESS,CONG_NAME,PARTY,CONG_DIST,OTHERSTRUCTUREID,NUMSEPARATESTRUCTURES,PERMITTINGAUTHORITY,INSPECTIONAUTHORITY,ENFORCEMENTAUTHORITY,JURISDICTIONALDAM,EAP_LAST_REV_DATE
4030,RUTHERFORD LAKE,,,,CA00025,-119.368,37.598,,MADERA,WFK GRANITE CR,,0,U.S. FOREST SERVICE,F,,N,PG,X,U,RS,1955,,230,10,0,9,10,0,0,198,198,28,0.4,U,N,,0,N,,U,0,,385,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,N,N,N,N,
4031,MCCLURE LAKE,,,,CA00026,-119.312,37.642,,MADERA,TR EFK GRANITE CR,,0,U.S. FOREST SERVICE,F,,N,PG,X,U,RS,1960,,150,12,0,11,12,0,0,209,209,23,0.6,U,N,,0,N,,U,0,,175,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,N,N,N,N,
4032,MADERA LAKE,,,,CA00027,-120.0015,37.0205,,MADERA,FRESNO RIVER,2,2,MADERA IRRIGATION DISTRICT,U,,N,RE,X,S,RS,1958,,6600,31,0,17,31,0,0,2300,2300,220,4.5,H,N,3/8/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,87000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Jim Costa (D),D,CA16,,0,Y,Y,Y,Y,
4033,WHALE ROCK,,,,CA00029,-120.887,35.4478,,SAN LUIS OBISPO,OLD CREEK,0.5,0.5,WHALE ROCK COMMISSION,U,,N,RE,X,RS,S,1960,,850,193,0,176,193,0,0,40662,40662,594,20.8,H,Y,2/16/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,2449800,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Salud O. Carbajal (D),D,CA24,,0,Y,Y,Y,Y,01-NOV-15
4034,EUREKA,,,,CA00031,-120.713,39.7636,,PLUMAS,EUREKA CREEK,1.8,1.8,CALIFORNIA DEPARTMENT OF PARKS AND RECREATION,S,,Y,RE,X,S,RS,1866,,410,29,0,14.5,29,0,0,220,220,22,0.52,S,N,6/21/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,0,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Doug LaMalfa (R),R,CA01,,0,Y,Y,Y,Y,
4035,FRENCHMAN,,,,CA00032,-120.191,39.893,,PLUMAS,LIT LAST CHANCE CR,8,8,CALIFORNIA DEPARTMENT OF WATER RESOURCES,S,,Y,RE,X,R,RS,1961,,720,139,0,120,139,0,0,55477,55477,1580,82,H,Y,10/4/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,537000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Doug LaMalfa (R),R,CA01,,0,Y,Y,Y,Y,
4036,BETHANY FOREBAY,,,,CA00033,-121.6178,37.7835,,ALAMEDA,TR ITALIAN SLOUGH,3,3,CALIFORNIA DEPARTMENT OF WATER RESOURCES,S,,N,RE,X,S,RS,1961,,695,95,0,90,95,0,0,5000,5000,163,4.46,H,Y,1/9/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,1150000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Eric Swalwell (D),D,CA15,,0,Y,Y,Y,Y,
4037,FISH BARRIER,,,,CA00034,-121.5478,39.5205,"S.8,T.19N,R.4E",BUTTE,FEATHER RIVER,MARYSVILLE,23,,X,,N,CNPG,HCK,RK,IS,1964,,600,61,91,61,91,80000,580,580,580,10,3611,L,NR,5/25/2016,1,Y,"DWR, SAFETY OF DAMS",U,600,,9300,0,0,0,,,,FERC,FERC,,,,FERC,CA,05-AUG-18,,Doug LaMalfa (R),R,CA01,,1,Y,Y,Y,Y,
4038,OROVILLE,,,,CA00035,-121.4855,39.5388,"S.35,T.20N,R.3E,...",BUTTE,FEATHER RIVER,OROVILLE,3,CALIFORNIA DEPT OF WATER RESOURCES,S,DWR,N,ERRE,IEK,RK,CHIRS,1968,,6920,770,770,748,770,227000,3540000,3540000,3540000,15800,3611,H,Y,5/22/2018,1,Y,"DWR, SAFETY OF DAMS",C,140,T8;,80000000,0,0,0,,,,FERC,FERC,,,,FERC,CA,05-AUG-18,,Doug LaMalfa (R),R,CA01,,3,Y,Y,Y,Y,28-DEC-17
4039,BIDWELL BAR CANYON SADDLE,,,,CA00035,-121.458,39.5118,"S.7/18,T.19N,R.5E",BUTTE,FEATHER RIVER,OROVILLE,5,,X,DWR,N,ERRE,IEK,RK,CHIRS,1968,,2270,47,50,25,50,0,3540000,3540000,3540000,15800,3611,H,Y,5/23/2018,1,N,,N,0,,191000,0,0,0,,,,FERC,FERC,,,,FERC,CA,05-AUG-18,,Doug LaMalfa (R),R,CA01,S001,3,N,N,N,N,28-DEC-17
4040,PARISH CAMP SADDLE,,,,CA00035,-121.5605,39.6743,"S.17,T.21N,R.4E",BUTTE,DRY CREEK/CHEROKEE CANAL,BIGGS,19,,X,DWR,N,ERRE,IEK,RK,CHIRS,1968,,260,27,36,5,36,0,3540000,3540000,3540000,15800,3611,H,Y,5/23/2018,1,N,,N,0,,12800,0,0,0,,,,FERC,FERC,,,,FERC,CA,05-AUG-18,,Doug LaMalfa (R),R,CA01,S002,3,N,N,N,N,28-DEC-17
4041,THERMALITO DIVERSION,,,,CA00036,-121.5449,39.5288,"S.5,T.19N,R.4E",BUTTE,FEATHER RIVER,OROVILLE,2,,X,DWR,N,CNPGRE,HCK,RK,HS,1967,,1300,143,143,135,143,150000,0,13328,13328,323,3640,H,Y,9/26/2017,1,Y,"DWR, SAFETY OF DAMS",C,560,T14;,154000,0,0,0,,,,FERC,FERC,,,,FERC,CA,05-AUG-18,,Doug LaMalfa (R),R,CA01,,1,Y,Y,Y,Y,28-DEC-17
4042,ANTELOPE,,,,CA00037,-120.6076,40.1808,,PLUMAS,INDIAN CREEK,14,14,CALIFORNIA DEPARTMENT OF WATER RESOURCES,S,,Y,RE,X,R,RS,1964,,1320,113,0,90,113,0,0,22566,22566,931,71,H,Y,10/5/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,380000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Doug LaMalfa (R),R,CA01,,0,Y,Y,Y,Y,
4043,LOWER SARDINE LAKE,,,,CA00038,-120.6227,39.616,,SIERRA,SARDINE CREEK,4.5,4.5,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,S,,Y,RE,X,S,RS,1965,,162,17,0,9,17,0,0,280,280,38,1.9,L,N,6/6/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,6500,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Doug LaMalfa (R),R,CA01,,0,Y,Y,Y,Y,
4044,GRIZZLY VALLEY,"DAVIS, LAKE",,,CA00039,-120.4771,39.8827,,PLUMAS,BIG GRIZZLY CR,8,8,CALIFORNIA DEPARTMENT OF WATER RESOURCES,S,,Y,RE,X,R,RS,1966,,800,115,0,105,115,0,0,83000,83000,4032,44,H,Y,10/4/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,253000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Doug LaMalfa (R),R,CA01,,0,Y,Y,Y,Y,
4045,"JUANITA, LAKE",,,,CA00040,-122.1267,41.8194,,SISKIYOU,TR MUSGRAVE CR,,0,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,F,,N,RE,X,U,RS,1964,,907,20,0,16,20,0,0,348,348,55,3.08,U,N,,0,N,,U,0,,25000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Doug LaMalfa (R),R,CA01,,0,N,N,N,N,
4046,THERMALITO FOREBAY,,,,CA00041,-121.6012,39.5252,"S.10,2,1,T.19N,R.3E",BUTTE,FEATHER RIVER - OFF STREAM,OROVILLE,6,,X,DWR,N,RE,IEK,RK,HR,1967,,15900,91,91,65,91,5000,11768,11768,11768,630,5,H,Y,9/27/2017,1,Y,"DWR, SAFETY OF DAMS",U,30,,1840000,0,0,0,,,,FERC,FERC,,,,FERC,CA,05-AUG-18,,Doug LaMalfa (R),R,CA01,,1,Y,Y,Y,Y,28-DEC-17
4047,THERMALITO AFTERBAY,,,,CA00042,-121.6871,39.4771,"S.128,...,T.19N,R.3E",BUTTE,FEATHER RIVER - OFF STREAM,MARYSVILLE,20,,X,DWR,N,RE,IEK,RK,HIRS,1967,,42000,39,39,31.5,39,17000,0,57041,57041,6900,13.3,H,Y,9/27/2017,1,Y,"DWR, SAFETY OF DAMS",C,70,,5020000,0,0,0,,,,FERC,FERC,,,,FERC,CA,05-AUG-18,,Doug LaMalfa (R),R,CA01,,1,Y,Y,Y,Y,28-DEC-17
4048,DEL VALLE,,,,CA00043,-121.745,37.6157,,ALAMEDA,ARROYO VALLE,6,6,CALIFORNIA DEPARTMENT OF WATER RESOURCES,S,,N,RE,X,R,CRS,1968,,880,222,0,194,222,47000,0,77100,77100,710,146,H,Y,1/10/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,4200000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Eric Swalwell (D),D,CA15,,0,Y,Y,Y,Y,
4049,CASTAIC,,,,CA00044,-118.6136,34.5215,,LOS ANGELES,CASTAIC CREEK,1,1,CALIFORNIA DEPARTMENT OF WATER RESOURCES,S,,Y,RE,X,R,RS,1973,,5200,340,0,320,340,0,0,323700,323700,2235,153.7,H,Y,4/17/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,44000000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Katie Hill (D),D,CA25,,0,Y,Y,Y,Y,
4050,RALSTON LAKE,,,,CA00045,-120.097,38.843,,EL DORADO,RALSTON LAKE,,0,U.S. FOREST SERVICE,F,,N,PG,X,U,ORS,1960,,40,11,0,10,11,0,0,150,150,16,0,U,N,,0,N,,U,0,,116,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Tom McClintock (R),R,CA04,,0,N,N,N,N,
4051,PATTERSON,,,,CA00048,-121.6836,37.6985,,ALAMEDA,OFFSTREAM,2,2,CALIFORNIA DEPARTMENT OF WATER RESOURCES,S,,N,RE,X,RS,S,1962,,1275,39,0,35.5,39,0,0,104,104,4,0,H,Y,1/10/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,97450,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Eric Swalwell (D),D,CA15,,0,Y,Y,Y,Y,
4052,CEDAR SPRINGS,,,,CA00049,-117.3142,34.3046,"SE1/4 HESPERIA,T.2N-T.3N,R.4W",SAN BERNARDINO,MOJAVE RIVER,NONE,0,,X,DWR,N,ERRE,,R,HRS,1971,,2230,249,249,190,249,32200,75000,75000,75000,980,34,H,Y,6/21/2018,1,Y,"DWR, SAFETY OF DAMS",U,120,,7600000,0,0,0,,,,FERC,FERC,,,,FERC,CA,05-AUG-18,,Paul Cook (R),R,CA08,,1,Y,Y,Y,Y,22-DEC-17
4053,CLIFTON COURT FOREBAY,,,,CA00050,-121.5864,37.821,,CONTRA COSTA,TR OLD RIVER,21.5,21.5,CALIFORNIA DEPARTMENT OF WATER RESOURCES,S,,N,RE,X,S,OS,1970,,39000,34,0,26,34,0,0,29000,29000,2500,0,L,N,1/9/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,2700000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Jerry McNerney (D),D,CA09,,0,Y,Y,Y,Y,
4054,OAK SITE,,,,CA00051,-122.1719,37.1274,,SANTA CRUZ,TR BIG CREEK,22,22,CALIFORNIA DEPARTMENT OF FORESTRY AND FIRE PROTECTION,S,,N,RE,X,R,S,1969,,290,43,0,37,43,0,0,20,20,2,0.08,L,N,3/1/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,19400,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Anna G. Eshoo (D),D,CA18,,0,Y,Y,Y,Y,
4055,PYRAMID,,,,CA00052,-118.7643,34.6443,"S.2,T.6N,R.18W",LOS ANGELES,PIRU CREEK,PIRU,12,,X,DWR,N,ERRE,,R,CHRS,1974,,1090,400,422,380,422,20000,171000,170000,171000,1290,432,H,Y,6/19/2018,1,Y,"DWR, SAFETY OF DAMS",C,40,T1;,6860000,0,0,0,,,,FERC,FERC,,,,FERC,CA,05-AUG-18,,Katie Hill (D),D,CA25,,1,Y,Y,Y,Y,22-DEC-17
4056,J W WISDA,,,,CA00053,-118.5929,34.0934,,LOS ANGELES,TR TOPANGA CAN,,0,CALIFORNIA DEPARTMENT OF PARKS AND RECREATION,S,,N,RE,X,R,R,1958,,350,50,0,43.3,50,0,0,45,45,4,0.22,L,N,2/23/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,20000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Ted Lieu (D),D,CA33,,0,Y,Y,Y,Y,
4057,PERRIS,PERRIS RESERVOIR,,,CA00054,-117.1978,33.8633,,RIVERSIDE,BERNASCONI PASS,4,4,CALIFORNIA DEPARTMENT OF WATER RESOURCES,S,,N,RE,X,S,RS,1973,,11600,130,0,120.16,130,0,0,131452,131452,2340,10,H,Y,12/21/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,16650000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Ken Calvert (R),R,CA42,,0,Y,Y,Y,Y,
4058,CANADA ROAD,,,,CA00055,-122.33133,37.5,,SAN MATEO,TR SAN MATEO CR,2,2,CALIFORNIA DEPARTMENT OF TRANSPORTATION,S,,N,RE,X,R,CS,1971,,1300,52,0,46,52,0,0,74,74,6,0.05,L,N,12/20/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,155000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Jackie Speier (D),D,CA14,,0,Y,Y,Y,Y,
4059,ANNADEL NO 1,,,,CA00056,-122.6344,38.4271,"S28,T 7N,R 7W,MD",SONOMA,SPRING CREEK,1.8,,CALIFORNIA DEPARTMENT OF PARKS AND RECREATION,S,USDA NRCS,N,RE,X,R,RS,1956,,400,67,0,62.1,67,0,0,395,395,35,1.71,H,N,11/16/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,35000,0,0,0,,USDA NRCS,,,,,,,CA,CA,30-JUL-18,,Mike Thompson (D),D,CA05,,0,Y,Y,Y,Y,
4060,ANTIOCH RES,ANTIOCH MUNICIPAL,,,CA00057,-121.809,37.9779,,CONTRA COSTA,TR SAN JOAQUIN RIV,,0,CITY OF ANTIOCH,L,,N,RE,X,R,CS,1935,,450,30,0,24.5,30,0,0,722,722,61,1.68,H,Y,11/1/2017,1,Y,"DWR, SAFETY OF DAMS",U,0,,22810,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Jerry McNerney (D),D,CA09,,0,Y,Y,Y,Y,
4061,RESERVOIR NO 4,,,,CA00059,-118.2984,34.1943,,LOS ANGELES,OFFSTREAM,,0,CITY OF BURBANK,L,,N,OT,X,S,S,1955,,210,38,0,34,38,0,0,34,34,1,0,H,Y,3/7/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,11500,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Adam B. Schiff (D),D,CA28,,0,Y,Y,Y,Y,01-DEC-15
4062,RESERVOIR NO 5,,,,CA00060,-118.33,34.21,,LOS ANGELES,OFFSTREAM,,0,CITY OF BURBANK,L,,N,OT,X,S,S,1949,,870,36,0,34,36,0,0,77,77,3,0,H,Y,3/7/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,40000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Adam B. Schiff (D),D,CA28,,0,Y,Y,Y,Y,01-DEC-15
4063,BRAND PARK,,,,CA00061,-118.275,34.1851,,LOS ANGELES,OFFSTREAM,,0,CITY OF GLENDALE,L,,N,RE,X,S,S,1930,,230,99,0,94.8,99,0,0,32,32,1,0,H,Y,3/29/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,50000,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Adam B. Schiff (D),D,CA28,,0,Y,Y,Y,Y,
4064,DIEDERICH RES,,,,CA00064,-118.2505,34.169,,LOS ANGELES,OFFSTREAM,,0,CITY OF GLENDALE,L,,N,RE,X,R,S,1950,,100,60,0,56,60,0,0,174,174,7,0,H,Y,3/29/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,250840,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Adam B. Schiff (D),D,CA28,,0,Y,Y,Y,Y,
4065,GLENOAKS 968 RESERVOIR,,,,CA00065,-118.2128,34.1539,,LOS ANGELES,OFFSTREAM,,0,CITY OF GLENDALE,L,,N,RE,X,S,S,1949,,220,62,0,58,62,0,0,28,28,1,0,H,Y,3/29/2018,1,Y,"DWR, SAFETY OF DAMS",U,0,,70870,0,0,0,,,,,,,,,CA,CA,30-JUL-18,,Adam B. Schiff (D),D,CA28,,0,Y,Y,Y,Y,
